IATA,Lat,Lon,Country,Continent
GAJ,38.41189957,140.3710022,Japan,Asia
GAL,64.73619843,-156.93699650000002,United States,North America
GAM,63.76679993,-171.7330017,United States,North America
GAN,-0.693342,73.155602,Maldives,Asia
GAO,20.08530045,-75.15830231,Cuba,North America
GAQ,16.24839973,-0.005456,Mali,Africa
GAS,-0.46350801,39.64830017,Kenya,Africa
GAU,26.10610008,91.58589935,India,Asia
GAY,24.74430084,84.95120239,India,Asia
GBA,51.668095,-2.05694,United Kingdom,Europe
GBB,40.826667,47.7125,Azerbaijan,Asia
GBD,38.34429932,-98.85919952,United States,North America
GBE,-24.555201,25.9182,Botswana,Africa
GBG,40.93799973,-90.43109894,United States,North America
GBJ,15.86870003,-61.27000046,Guadeloupe,North America
GBK,7.767000198,-12.38300037,Sierra Leone,Africa
GBT,36.90940094,54.40129852,Iran,Asia
GBZ,-36.24140167,175.4720001,New Zealand,Oceania
GCC,44.34889984,-105.53900149999998,United States,North America
GCH,30.33760071,50.82799912,Iran,Asia
GCI,49.43500137,-2.6019699569999997,Guernsey,Europe
GCJ,-25.98629951,28.14010048,South Africa,Africa
GCK,37.92750168,-100.72399899999999,United States,North America
GCM,19.2928009,-81.35769653,Cayman Islands,North America
GCN,35.95240021,-112.14700320000001,United States,North America
GDC,34.758301,-82.37640400000001,United States,North America
GDE,5.935130119,43.57860184,Ethiopia,Africa
GDL,20.52179909,-103.310997,Mexico,North America
GDN,54.37760162,18.46619987,Poland,Europe
GDO,7.233333111,-70.80000305,Venezuela,South America
GDQ,12.51990032,37.43399811,Ethiopia,Africa
GDT,21.44449997,-71.14230347,Turks and Caicos Islands,North America
GDV,47.13869858,-104.8069992,United States,North America
GDW,43.97060013,-84.47499847,United States,North America
GDX,59.9109993,150.72000119999998,Russia,Europe
GDZ,44.58209263,38.01248074,Russia,Europe
GEA,-22.25830078,166.47300719999998,New Caledonia,Oceania
GEC,35.235946999999996,33.724358,Cyprus,Asia
GED,38.68920135,-75.35890198,United States,North America
GEG,47.61989975,-117.5339966,United States,North America
GEL,-28.2817,-54.169102,Brazil,South America
GEO,6.498549937999999,-58.25410079999999,Guyana,South America
GER,21.83469963,-82.78379822,Cuba,North America
GES,6.058000087999999,125.0960007,Philippines,Asia
GET,-28.796101,114.707001,Australia,Oceania
GEV,67.13240051,20.81459999,Sweden,Europe
GEX,-38.22499847,144.3329926,Australia,Oceania
GFF,-34.25080109,146.06700130000002,Australia,Oceania
GFK,47.949298999999996,-97.176102,United States,North America
GFL,43.34120178,-73.61029816,United States,North America
GFN,-29.75939941,153.02999880000002,Australia,Oceania
GFO,6.358864,-58.655207,Guyana,South America
GFR,48.883098600000004,-1.564170003,France,Europe
GFY,-19.60219955,18.12269974,Namibia,Africa
GGE,33.31169891,-79.31960297,United States,North America
GGG,32.38399887,-94.71150208,United States,North America
GGM,0.271342009,34.78730011,Kenya,Africa
GGS,-48.7831,-70.150002,Argentina,South America
GGT,23.56259918,-75.87799835,Bahamas,North America
GGW,48.212502,-106.614998,United States,North America
GHA,32.38410187,3.79411006,Algeria,Africa
GHB,25.28470039,-76.33100128,Bahamas,North America
GHC,25.7383,-77.840103,Bahamas,North America
GHF,49.64810181,9.966489792,Germany,Europe
GHT,25.14559937,10.14260006,Libya,Africa
GHU,-33.0103,-58.6131,Argentina,South America
GIB,36.15119934,-5.34965992,Gibraltar,Europe
GIC,-9.232780457,142.2180023,Australia,Oceania
GID,-3.4172089999999997,29.911308000000002,Burundi,Africa
GIF,28.062901,-81.753304,United States,North America
GIG,-22.80999947,-43.25055695,Brazil,South America
GII,11.43299961,-9.166999817,Guinea,Africa
GIL,35.91880035,74.33360291,Pakistan,Asia
GIR,4.2762400000000005,-74.7967,Colombia,South America
GIS,-38.66329956,177.9779968,New Zealand,Oceania
GIT,-2.8136669999999997,32.172472,Tanzania,Africa
GIU,7.956669807000001,80.72850037,Sri Lanka,Asia
GIZ,16.90110016,42.58580017,Saudi Arabia,Asia
GJA,16.4454,-85.906601,Honduras,North America
GJL,36.79510117,5.87361002,Algeria,Africa
GJM,-10.78639984,-65.28479767,Brazil,South America
